vendor,display_name,official_website_status,official_website_url,sample_sku,search_url_template,search_result_mode,search_transport,search_parameter_name,platform_family,search_family,search_entry_mode,runtime_preference,http_search_allowed,browser_required,blocking_risk,verification_level,template_status,confidence_bucket,resolver_hint,product_fetch_mode,interaction_strategy,direct_url_sufficient,search_entry_url,search_container_selector,search_input_selector,search_submit_selector,result_container_selector,result_link_selector,result_match_mode,api_request_url_template,api_response_collection,api_result_id_field,api_result_sku_field,product_url_template,product_extraction_priority,media_strategy,notes
Factor 55,Factor 55,confirmed,https://www.factor55.com/,FF-00013,https://www.factor55.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Factory Aftermarket,Factory Aftermarket,probable,https://factoryaftermarket.com/collections/all,FA-FSD-CS-2022,https://factoryaftermarket.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Fast Coolers,Fast Coolers,probable,https://www.fastcoolers.com/,FC-2FCVR,https://www.fastcoolers.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
FOX Shocks,FOX Shocks,confirmed,https://ridefox.com/,FOX-98502127,https://ridefox.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Full Send Diesel,Full Send Diesel,probable,https://fullsenddiesel.com/,FSD-01-B,https://fullsenddiesel.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Gen-Y Hitch,GEN-Y Hitch,probable,https://genyhitch.com/,GH-060,https://genyhitch.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search route: https://genyhitch.com/search?q={sku}.
Generic Race Parts (GRP),Generic Race Parts (GRP),probable,https://www.gregsraceparts.com/,GRP-FUELCAP,https://www.gregsraceparts.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Glacier Diesel Power,Glacier Diesel Power,probable,https://www.glacierdieselpower.com/,GDP-1012FE,https://www.glacierdieselpower.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Grizzly,Grizzly Products,probable,https://www.grizzly.com/,GZ-GA108,https://www.grizzly.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
H&S Motorsports,H&S Motorsports,confirmed,https://hsmotorsports.com/,HS-121003,https://hsmotorsports.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Holders Diesel,Holders Diesel,probable,https://holdersdiesel.com/collections/all,HD-60-STK-PS,https://holdersdiesel.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
ICON Alloys,ICON Alloys,confirmed,https://iconvehicledynamics.com/collections/wheel,IA-192050,https://iconvehicledynamics.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,.com tld; vendor key present in result text; deep path candidate
ICON Vehicle Dynamics,ICON Vehicle Dynamics,confirmed,https://iconvehicledynamics.com/,ICON-37024,https://iconvehicledynamics.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
ISSPRO,ISSPRO,confirmed,https://isspro.com/,ISS-R8912,https://isspro.com/Search/PartNoSearch?q={sku},search_results,GET,q,generic_get_search,part_number_search,custom_route_template,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
JKS Manufacturing,JKS Manufacturing,probable,https://jksmfg.com/,JKS-JKS2033,https://jksmfg.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
KC Turbos,KC Turbos,confirmed,https://kcturbos.com/,KC-300365,https://kcturbos.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Kryptonite,Kryptonite Products,probable,https://kryptoniteproducts.com/,KRY-KR175,https://kryptoniteproducts.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
MagnaFlow Exhaust,MagnaFlow Exhaust,probable,https://www.magnaflow.com/,MF-12775,https://www.magnaflow.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
MBRP Exhaust,MBRP Exhaust,confirmed,https://mbrpexhauststore.com/,MBRP-T5156,https://mbrpexhauststore.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Mel's Manufacturing,Mel's Manufacturing,confirmed,https://www.melsmfg.com/,MEL-6185,https://www.melsmfg.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,.com tld; vendor key present in result text; deep path candidate
Method Race Wheels,Method Race Wheels,confirmed,https://www.methodracewheels.com/,MRW-MR301785,https://www.methodracewheels.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Mob Armor,Mob Armor,probable,https://www.mobarmor.com/,MOBM2-BLK-LG,https://www.mobarmor.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Morimoto,Morimoto,confirmed,https://www.morimotohid.com/,MOR-LF553,https://morimotohid.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
NRS Galvanized Brakes,NRS Galvanized Brakes,probable,https://nrsbrakes.com/,NRS-NS909,https://nrsbrakes.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
OLM Lighting,OLM Lighting,confirmed,https://olm.com/,OLM-OLME.16016.1,https://olm.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Oracle Lighting,Oracle Lighting,probable,http://oraclelighting.channelsync.com/,ORA-5865-504,https://www.oraclelights.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search route: https://www.oraclelights.com/search?q={sku}.
Performance Diesel Inc.,Performance Diesel Inc.,confirmed,https://pdidiesel.com/,PDI-3466CR,https://pdidiesel.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,.com tld; vendor key present in result text; root path
Power Driven Diesel,Power Driven Diesel,probable,https://powerdriven.com/,PDD-RIT0001,https://powerdriven.com/pages/search?query={sku},search_results,GET,query,generic_get_search,generic_query_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,manual_user_confirmed_existing_vendor_search,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,User previously confirmed Power Driven Diesel search route: https://powerdriven.com/pages/search?query={sku}.
"PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis","PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis",probable,https://ppei.com/,PPEI-EZLYNK30-LML,https://ppei.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Pro Eagle Floor Jacks,Pro Eagle Floor Jacks,probable,https://www.proeagle.com/,PE-EXT8,https://www.proeagle.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
PROJECT X,PROJECT X,probable,https://projectxoffroad.com/,PX-AC538806-1,https://projectxoffroad.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
PSC,PSC Performance Steering Components,probable,https://www.pscsteering.com/,PSC-SG851,https://www.pscsteering.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
PureDPF,PureDPF,probable,https://www.puredpf.com/,PDPF-P-DPF-44003,https://www.puredpf.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Racor,Racor,probable,https://racorstore.com/,RAC-RK4616,https://racorstore.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Rare Parts Steering and Suspension,Rare Parts Steering and Suspension,probable,https://www.rareparts.com/,RP20610,https://rareparts.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
RECON Lighting,RECON Lighting,probable,https://gorecon.com/,REC-26413,https://gorecon.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form_with_playwright,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Red-Head Steering Gears Inc.,Red-Head Steering Gears Inc.,confirmed,https://redheadsteeringgears.com/,RH-2773,https://redheadsteeringgears.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
"Reid Racing, Inc.","Reid Racing, Inc.",probable,https://www.reidracing.com/,REID-D60005-2,https://www.reidracing.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
RokBlokz,RokBlokz Mud Flaps,confirmed,https://rokblokz.com/,RKB-F17SRW-BK-BK,https://rokblokz.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Schaeffer's Lubricants,Schaeffer's Lubricants,confirmed,https://www.schaefferoil.com/,SL-0219,https://schaefferoil.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
SDHQ Off Road,SDHQ Off Road,confirmed,https://sdhqoffroad.com/,SDHQ-10-1131-G4,https://sdhqoffroad.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Snyder Performance Engineering,Snyder Performance Engineering,confirmed,https://www.spemotorsport.com/,SPE-67HTFK,https://www.spemotorsport.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
South Bend Clutch,South Bend Clutch,confirmed,https://southbendclutch.com/,SBC-0090,https://southbendclutch.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
SteerSmarts,SteerSmarts,confirmed,https://steersmarts.com/,SS-714001,https://steersmarts.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Sulastic Rubber Springs,Sulastic Rubber Springs,confirmed,https://sulastic.com/en/,SUL-SC-15,https://sulastic.com/en/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Timbren,Timbren,confirmed,https://timbren.com/,TB-DR250,https://timbren.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Total Seal Piston Rings,Total Seal Piston Rings,confirmed,https://www.totalseal.com/,TSPR-S4194,https://totalseal.com/search?query={sku},search_results,GET,query,generic_get_search,generic_query_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
TS Performance,TS Performance,confirmed,https://www.tsperformanceofficial.com/,TS-1290301,/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
USA Standard Gear,USA Standard Gear,confirmed,https://www.usastandardgear.com/,USG-ZSG7616,https://www.usastandardgear.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Volant,Volant,confirmed,https://volant.com/,VOL-35066,https://volant.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Warn,BorgWarner,probable,https://www.warn.com/,WARN-17801,https://warn.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Westin,Westin Automotive Products,probable,https://www.westinautomotive.com/,WES-21-1315,https://westinautomotive.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,probed,probed,medium,common_template_probe,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
"Wilwood Engineering, Inc.","Wilwood Engineering, Inc.",confirmed,https://wilwood.com/,WIL-220-9811,https://wilwood.com/Search/PartNoSearch?q={sku},search_results,GET,q,generic_get_search,part_number_search,custom_route_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
XDP,XDP,probable,https://www.xtremediesel.com/,XDP-XD200,https://www.xtremediesel.com/xtreme-diesel-performance-xdp-search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,manual_user_seed_xdp_bot_sensitive,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Confirmed manual search route: https://www.xtremediesel.com/xtreme-diesel-performance-xdp-search?q={sku}. XDP is bot-sensitive; prefer schema lookup and the existing anti-bot handling where possible.
XS Power,XS Power,confirmed,https://4xspower.com/,XS-580,https://4xspower.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,manual_shopify_search_validation,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,Search route validated; sample SKU returned a no-results page.
Yukon Gear & Axle,Yukon Gear & Axle,confirmed,https://www.yukongear.com/,YUK-YGK058,https://www.yukongear.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Zone Offroad Suspension,Zone Offroad Suspension,confirmed,https://zoneoffroad.com/,ZON-D9,https://zoneoffroad.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Zumbrota Drivetrain,Zumbrota Drivetrain,confirmed,https://www.zumbrotadrivetrain.com/,ZUM-RTC241DHD-7,https://www.zumbrotadrivetrain.com/search?q={sku},search_results,GET,q,generic_get_search,generic_q_search,direct_query_template,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
AFE,AFE,confirmed,https://afepower.com/,46-71370B,https://afepower.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Black Rhino Wheels,Black Rhino Wheels,confirmed,https://www.blackrhinowheels.com/,BRW-1795ARY-88170G25,https://www.blackrhinowheels.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,manual_magento_form_validation,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Cognito Motorsports Suspension,Cognito Motorsports Suspension,probable,https://cognitomotorsports.com/,CM-110-90715,https://cognitomotorsports.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Diode Dynamics,Diode Dynamics,probable,https://www.diodedynamics.com/,DD-DD7120,https://www.diodedynamics.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Fleece Performance Engineering,Fleece Performance Engineering,confirmed,https://www.fleeceperformance.com/,FPE-CP3X2,https://www.fleeceperformance.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Fleetguard Filters,Fleetguard Filters,probable,https://fleet-reliable-filters.com/catalogs,FG-LF9028,https://fleet-reliable-filters.com/catalogsearch/result/index/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Flex-A-Lite,Flex-A-Lite,probable,https://flex-a-lite.com/,FAL-103961,https://flex-a-lite.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Mishimoto,Mishimoto,confirmed,https://www.mishimoto.com/,MISH-R1553,https://www.mishimoto.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Nemesis Industries,Nemesis Industries,probable,https://nem-ind.com/,NEM-121840,https://nem-ind.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
NOS Nitrous Oxide Systems,NOS Nitrous Oxide Systems,probable,https://www.noswizard.com/,NOS-02521NOS,https://www.noswizard.com/catalogsearch/result/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Powermaster Performance Starters and Alternators,Powermaster Performance Starters and Alternators,probable,https://www.powermasterperformance.com/about-us,PM-7767,https://www.powermasterperformance.com/catalogsearch/result/index/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Race Sport Lighting,Race Sport Lighting,probable,https://www.racesportinc.com/,RSL-9FT3PE,https://www.racesportinc.com/catalogsearch/result/index/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
ReadyLIFT Suspension,ReadyLIFT Suspension,confirmed,https://www.readylift.com/,RL-69-4630,https://www.readylift.com/catalogsearch/result/?cat=2&q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Rigid Industries,Rigid Industries,confirmed,https://www.rigidindustries.com/,RIGID-40200,https://www.rigidindustries.com/catalogsearch/result/index/?q={sku},search_results,GET,q,magento,magento_catalogsearch,catalog_or_storefront_search,http_first,yes,no,low,detected,detected,medium,jsonld_searchaction_or_html_form,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
No Limit Fabrication,No Limit Fabrication,confirmed,https://nolimitfabrication.com/,NL-67OP,https://nolimitfabrication.com/search.html?q={sku},search_results,GET,q,partslogic,partslogic_search_redirect,overlay_redirect_search,http_first,yes,no,low,verified,confirmed,high,manual_results_page_clickthrough,http_first,results_page_clickthrough,yes,https://nolimitfabrication.com/,#pl-search-bar-container,input#sui-search-bar-input,button.searchBar_styledButton__stNhX,body search results page,a[href*='/i-'],exact_sku_in_result_block_then_first_result,,,,,https://nolimitfabrication.com/i-{id}?q={sku},jsonld>embedded_state>dom,gallery_scope_only,"Validated against the live Partslogic storefront. The homepage widget uses input#sui-search-bar-input inside #pl-search-bar-container, but the stronger runtime path is direct GET /search.html?q={sku}. That results page returns /i-... product links for queries like 67OP, so treat it as a results-page clickthrough resolver rather than a popup-only search. | Treat /search.html?q={sku} as the primary resolver and click the best /i-... result. The homepage widget is useful for manual validation"
AccuAir Suspension,AccuAir Suspension,confirmed,https://accuair.com/,AA-3837,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,search_results,GET,q,shopify,generic_q_search,direct_query_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
ADDICTIVE DESERT DESIGNS,ADDICTIVE DESERT DESIGNS,probable,https://www.addictivedesertdesigns.com/,ADD-AC8101801NA,https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q={sku},search_results,GET,q,shopify,shopify_product_search,custom_route_template,http_first,yes,no,low,verified,confirmed,high,manual_user_seed,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
Industrial Injection,Industrial Injection,confirmed,https://industrialinjection.com/,II-227411,https://industrialinjection.com/search?type=product%2Carticle%2Cpage%2Ccollection&options[prefix]=last&q={sku},search_results,GET,q,shopify,shopify_product_search,custom_route_template,http_first,yes,no,low,verified,confirmed,high,playwright_search_submit,http_first,,,,,,,,,,,,,,,jsonld>embedded_state>dom,gallery_scope_only,
